"filename", "language", "Python", "Markdown", "JavaScript", "JSON", "PostCSS", "HTML", "JavaScript JSX", "YAML", "comment", "blank", "total"
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\_enums\ObjectTypesEnum.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\components\ContextMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 51, 0, 1, 10, 62
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\components\TitleBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 0, 3, 22
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\components\menus\HierarchyMenus.js", "JavaScript", 0, 0, 127, 0, 0, 0, 0, 0, 0, 2, 129
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\components\menus\ToolbarMenus.js", "JavaScript", 0, 0, 59, 0, 0, 0, 0, 0, 33, 19, 111
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\components\project\FileIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 15, 6, 59
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\components\project\ProjectGrid.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 98, 0, 51, 24, 173
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\components\project\ProjectTree.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 91, 0, 37, 13, 141
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\context\ProjectProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 10, 0, 0, 5, 15
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\context\useStore.js", "JavaScript", 0, 0, 297, 0, 0, 0, 0, 0, 7, 53, 357
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\core\Hierarchy.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 185, 0, 13, 45, 243
